1. Cronograma - Sua Máquina de Vendas Estratégicas;;;;;;;;;
Boas Vindas;;;;;;;;;
Name;Subelementos;Pessoa;Status;Data de entrega - Start;Data de entrega - End;Ferramentas;Arquivos Para Clientes;Arquivos Base;Item ID (auto generated)
Kickoff com o CEO;;ceo@hallennaiane.com;;;;;;;4203920371
Vídeo da Mentoria - AO VIVO;;ceo@hallennaiane.com;;;;;;;4203920370
Anexo do contrato;;ceo@hallennaiane.com;;;;;;;4203920391
;;;;;;0/3;;;
;;;;;;;;;
Introdução;;;;;;;;;
Name;Subelementos;Pessoa;Status;Data de entrega - Start;Data de entrega - End;Ferramentas;Arquivos Para Clientes;Arquivos Base;Item ID (auto generated)
Definição de Persona + Template de Posicionamento;;;;;;v;https://mottivme.monday.com/protected_static/14061799/resources/825067731/1.%20Defini%C3%A7%C3%A3o%20da%20Persona%20-%20MOTTIVME.xlsx, https://mottivme.monday.com/protected_static/14061799/resources/825085025/2.%20Template%20de%20Posicionamento..pdf;;4203920414
Processo de vendas;;;;;;v;https://mottivme.monday.com/protected_static/14061799/resources/825108192/1.%20Processo%20de%20Vendas.xlsx;;4203920362
Fluxo do comercial;;;;;;v;https://mottivme.monday.com/protected_static/14061799/resources/825114611/Fluxo+Comercial%20-%20MOTTIVME.xlsx;;4203920402
Modelo de remuneração do time;;;;;;v;https://mottivme.monday.com/protected_static/14061799/resources/825134389/Modelo%20Remunera%C3%A7%C3%A3o%20e%20Time%20-%20MOTTIVME.xlsx;;4203920469
Planejamento de Vendas;;;;;;v;https://mottivme.monday.com/protected_static/14061799/resources/825142109/Planejamento%20de%20Vendas%20-%20MOTTIVME.xlsx;;4203920499
Diagnóstico de Inside Sales;;;;;;v;;;4203920439
Pirâmide da Produtividade Empresarial;;;;;;v;;;4203920436
Vídeo da Mentoria-  AO VIVO;;;;;;;;;4203920506
;;;;;;7/8;;;
;;;;;;;;;
Pré-Vendas;;;;;;;;;
Name;Subelementos;Pessoa;Status;Data de entrega - Start;Data de entrega - End;Ferramentas;Arquivos Para Clientes;Arquivos Base;Item ID (auto generated)
Planilha de Pré-vendas;;;;;;v;;;4203920364
Planilha de acompanhamento de prospecção semanal;;;;;;v;;;4203920425
Rotina de Prospecção;;;;;;;;;4203920445
Script Pré-vendas;;;;;;;;;4203920410
Planilha de objeções;;;;;;;;;4203931175
Treinamento de SDR’s;;;;;;;;;4203932589
Vídeo da Mentoria- AO VIVO;;;;;;;;;4203920418
;;;;;;2/7;;;
;;;;;;;;;
Vendas;;;;;;;;;
Name;Subelementos;Pessoa;Status;Data de entrega - Start;Data de entrega - End;Ferramentas;Arquivos Para Clientes;Arquivos Base;Item ID (auto generated)
Recrutamento e seleção de vendedores;;ceo@hallennaiane.com;;;;;;;4203920369
Coach de vendas por KPI;;;;;;;;;4203920396
Mensagens persuasivas;;;;;;;;;4203920415
Playbook de vendas;;;;;;;;;4203920435
Roteiro de diagnósticos em vendas;;;;;;;;;4203935803
Vídeo da Mentoria- AO VIVO;;;;;;;;;4203920428
;;;;;;0/6;;;
;;;;;;;;;
Pós-Vendas;;;;;;;;;
Name;Subelementos;Pessoa;Status;Data de entrega - Start;Data de entrega - End;Ferramentas;Arquivos Para Clientes;Arquivos Base;Item ID (auto generated)
Calculadora de NPS;;;;;;;;;4203920384
Carta de agradecimento para cliente;;;;;;;;;4203920377
;;;;;;0/2;;;
;;;;;;;;;
Automação;;;;;;;;;
Name;Subelementos;Pessoa;Status;Data de entrega - Start;Data de entrega - End;Ferramentas;Arquivos Para Clientes;Arquivos Base;Item ID (auto generated)
Baixar banco de dados dos clientes;;;;;;;;;4203941444
Compra do sistema de Automação;;;;;;;;;4203940005
Implementação da automação;;;;;;;;;4203940008
Criaçao de Script (2);;;;;;;;;4203941071
Disparo das mensagens em massa;;;;;;;;;4203943809
;;;;;;0/5;;;
;;;;;;;;;
Encerramento;;;;;;;;;
Name;Subelementos;Pessoa;Status;Data de entrega - Start;Data de entrega - End;Ferramentas;Arquivos Para Clientes;Arquivos Base;Item ID (auto generated)
Pesquisa de Satisfação- NPS;;;;;;;;;4203937668
Depoimento;;;;;;;;;4203937660
;;;;;;0/2;;;
